UIDX,CRITICAL FLAG
te-1,Not Critical
te-2,Critical
te-3,Critical
te-4,Critical
te-5,Critical
te-6,Not Critical
te-7,Not Critical
te-8,Not Critical
te-9,Not Critical
te-10,Critical
te-11,Critical
te-12,Critical
te-13,Critical
te-14,Critical
te-15,Critical
te-16,Critical
te-17,Critical
te-18,Not Critical
te-19,Critical
te-20,Critical
te-21,Not Critical
te-22,Critical
te-23,Critical
te-24,Critical
te-25,Critical
te-26,Not Applicable
te-27,Not Critical
te-28,Not Critical
te-29,Critical
te-30,Critical
te-31,Not Critical
te-32,Critical
te-33,Critical
te-34,Not Critical
te-35,Not Applicable
te-36,Critical
te-37,Not Applicable
te-38,Not Applicable
te-39,Not Critical
te-40,Not Critical
te-41,Critical
te-42,Critical
te-43,Not Critical
te-44,Not Critical
te-45,Not Critical
te-46,Critical
te-47,Critical
te-48,Not Critical
te-49,Not Critical
te-50,Not Critical
te-51,Not Applicable
te-52,Critical
te-53,Not Critical
te-54,Not Applicable
te-55,Not Applicable
te-56,Not Critical
te-57,Not Applicable
te-58,Critical
te-59,Not Critical
te-60,Critical
te-61,Not Critical
te-62,Critical
te-63,Critical
te-64,Critical
te-65,Critical
te-66,Not Critical
te-67,Critical
te-68,Critical
te-69,Not Applicable
te-70,Critical
te-71,Critical
te-72,Critical
te-73,Critical
te-74,Critical
te-75,Critical
te-76,Not Critical
te-77,Not Applicable
te-78,Critical
te-79,Not Critical
te-80,Critical
te-81,Critical
te-82,Critical
te-83,Not Critical
te-84,Critical
te-85,Critical
te-86,Not Critical
te-87,Not Critical
te-88,Critical
te-89,Critical
te-90,Critical
te-91,Not Critical
te-92,Critical
te-93,Critical
te-94,Not Critical
te-95,Critical
te-96,Not Critical
te-97,Not Critical
te-98,Not Critical
te-99,Not Applicable
te-100,Not Critical
te-101,Not Critical
te-102,Not Critical
te-103,Not Applicable
te-104,Critical
te-105,Critical
te-106,Critical
te-107,Critical
te-108,Critical
te-109,Not Applicable
te-110,Critical
te-111,Critical
te-112,Critical
te-113,Not Critical
te-114,Not Critical
te-115,Critical
te-116,Not Critical
te-117,Critical
te-118,Not Critical
te-119,Not Critical
te-120,Not Critical
te-121,Critical
te-122,Critical
te-123,Critical
te-124,Critical
te-125,Critical
te-126,Critical
te-127,Not Applicable
te-128,Critical
te-129,Critical
te-130,Critical
te-131,Not Critical
te-132,Not Critical
te-133,Not Critical
te-134,Critical
te-135,Critical
te-136,Critical
te-137,Not Critical
te-138,Critical
te-139,Not Critical
te-140,Not Critical
te-141,Critical
te-142,Critical
te-143,Critical
te-144,Not Critical
te-145,Critical
te-146,Critical
te-147,Critical
te-148,Critical
te-149,Critical
te-150,Critical
te-151,Critical
te-152,Not Critical
te-153,Not Applicable
te-154,Not Critical
te-155,Critical
te-156,Critical
te-157,Critical
te-158,Critical
te-159,Critical
te-160,Critical
te-161,Not Critical
te-162,Critical
te-163,Critical
te-164,Critical
te-165,Not Critical
te-166,Critical
te-167,Critical
te-168,Not Critical
te-169,Not Critical
te-170,Not Critical
te-171,Critical
te-172,Critical
te-173,Critical
te-174,Critical
te-175,Not Critical
te-176,Not Critical
te-177,Not Critical
te-178,Not Critical
te-179,Critical
te-180,Not Critical
te-181,Not Critical
te-182,Critical
te-183,Not Critical
te-184,Not Critical
te-185,Critical
te-186,Not Applicable
te-187,Critical
te-188,Not Critical
te-189,Not Critical
te-190,Critical
te-191,Critical
te-192,Critical
te-193,Critical
te-194,Critical
te-195,Critical
te-196,Critical
te-197,Not Critical
te-198,Not Applicable
te-199,Critical
te-200,Critical
te-201,Not Critical
te-202,Critical
te-203,Critical
te-204,Not Critical
te-205,Critical
te-206,Not Critical
te-207,Not Critical
te-208,Critical
te-209,Not Critical
te-210,Critical
te-211,Not Critical
te-212,Critical
te-213,Not Critical
te-214,Critical
te-215,Critical
te-216,Not Critical
te-217,Not Critical
te-218,Critical
te-219,Not Applicable
te-220,Critical
te-221,Not Critical
te-222,Critical
te-223,Not Critical
te-224,Critical
te-225,Critical
te-226,Not Critical
te-227,Critical
te-228,Not Applicable
te-229,Not Applicable
te-230,Not Critical
te-231,Not Critical
te-232,Critical
te-233,Not Critical
te-234,Critical
te-235,Critical
te-236,Critical
te-237,Not Critical
te-238,Not Critical
te-239,Not Critical
te-240,Critical
te-241,Critical
te-242,Not Critical
te-243,Not Critical
te-244,Critical
te-245,Critical
te-246,Critical
te-247,Not Applicable
te-248,Not Critical
te-249,Not Applicable
te-250,Critical
te-251,Not Critical
te-252,Critical
te-253,Critical
te-254,Not Critical
te-255,Critical
te-256,Critical
te-257,Critical
te-258,Critical
te-259,Critical
te-260,Critical
te-261,Critical
te-262,Not Critical
te-263,Critical
te-264,Not Critical
te-265,Critical
te-266,Not Critical
te-267,Not Critical
te-268,Not Critical
te-269,Critical
te-270,Not Critical
te-271,Not Critical
te-272,Critical
te-273,Critical
te-274,Critical
te-275,Critical
te-276,Critical
te-277,Not Critical
te-278,Not Critical
te-279,Critical
te-280,Critical
te-281,Critical
te-282,Critical
te-283,Critical
te-284,Critical
te-285,Not Critical
te-286,Critical
te-287,Not Critical
te-288,Not Applicable
te-289,Not Critical
te-290,Not Critical
te-291,Not Critical
te-292,Critical
te-293,Not Critical
te-294,Critical
te-295,Critical
te-296,Not Critical
te-297,Not Critical
te-298,Critical
te-299,Critical
te-300,Critical
te-301,Not Critical
te-302,Not Critical
te-303,Critical
te-304,Not Critical
te-305,Critical
te-306,Not Critical
te-307,Not Applicable
te-308,Critical
te-309,Not Applicable
te-310,Critical
te-311,Not Critical
te-312,Critical
